Advisor Name,Experience (Years),Profession,Certifications,Region,Rating (Out of 5)
Vivaan Verma,11,Financial Planner,CPA,Andhra Pradesh,4.9
Saanvi Desai,13,Investment Advisor,"CA, SEBI RIA",Andhra Pradesh,3.7
Aarav Malhotra,4,Investment Advisor,"CA, CFA",Andhra Pradesh,4.3
Vivaan Kulkarni,11,Financial Planner,FRM,Andhra Pradesh,4.7
Ayaan Kulkarni,23,Investment Advisor,FRM,Andhra Pradesh,4.6
Aadhya Saxena,13,Chartered Accountant,CFP,Andhra Pradesh,4.7
Reyansh Malhotra,18,Tax Consultant,"CA, CFP",Andhra Pradesh,3.9
Vivaan Chowdhury,13,Tax Consultant,CA,Andhra Pradesh,4.5
Krishna Iyer,24,Tax Consultant,"CFA, FRM",Andhra Pradesh,3.3
Ayaan Sharma,28,Tax Consultant,SEBI RIA,Andhra Pradesh,3.9
Aarav Mehta,29,Wealth Manager,"CPA, CA",Andhra Pradesh,4.0
Aditya Agarwal,25,Investment Advisor,CPA,Andhra Pradesh,3.9
Myra Kapoor,23,Tax Consultant,"CPA, SEBI RIA",Andhra Pradesh,4.9
Kiara Kapoor,13,Tax Consultant,"CPA, CFP",Andhra Pradesh,4.6
Kiara Joshi,5,Tax Consultant,"CA, CPA",Andhra Pradesh,3.9
Ayaan Kapoor,28,Investment Advisor,"CFA, CPA",Andhra Pradesh,4.3
Arjun Joshi,26,Chartered Accountant,"CPA, CA",Andhra Pradesh,5.0
Avni Malhotra,25,Wealth Manager,"SEBI RIA, CFP",Andhra Pradesh,3.5
Aarohi Reddy,20,Investment Advisor,"SEBI RIA, CFA",Andhra Pradesh,4.0
Avni Nair,2,Tax Consultant,CFA,Andhra Pradesh,4.3
Sai Bansal,6,Tax Consultant,"CFP, CPA",Andhra Pradesh,3.6
Aditya Reddy,10,Chartered Accountant,"CA, CFA",Andhra Pradesh,4.0
Avni Mehta,13,Tax Consultant,"FRM, CPA",Andhra Pradesh,3.6
Ayaan Joshi,26,Tax Consultant,FRM,Andhra Pradesh,4.7
Reyansh Verma,21,Financial Planner,SEBI RIA,Andhra Pradesh,4.1
Aarav Rao,26,Tax Consultant,CFP,Andhra Pradesh,4.5
Pari Nambiar,11,Tax Consultant,"FRM, CPA",Andhra Pradesh,4.2
Aarav Joshi,22,Investment Advisor,FRM,Andhra Pradesh,3.9
Sai Iyer,10,Wealth Manager,"CPA, FRM",Andhra Pradesh,3.5
Pari Reddy,1,Financial Planner,"CFP, CFA",Andhra Pradesh,4.5
Vihaan Verma,3,Tax Consultant,FRM,Arunachal Pradesh,3.3
Arjun Bansal,25,Investment Advisor,SEBI RIA,Arunachal Pradesh,3.6
Aadhya Iyer,30,Chartered Accountant,CA,Arunachal Pradesh,3.8
Pari Gupta,28,Investment Advisor,"CPA, CA",Arunachal Pradesh,4.7
Myra Mehta,24,Financial Planner,SEBI RIA,Arunachal Pradesh,3.1
Avni Saxena,16,Tax Consultant,"CPA, CFP",Arunachal Pradesh,4.1
Krishna Reddy,5,Financial Planner,"CFP, CPA",Arunachal Pradesh,4.4
Kiara Malhotra,2,Investment Advisor,FRM,Arunachal Pradesh,4.3
Myra Iyer,30,Investment Advisor,"FRM, SEBI RIA",Arunachal Pradesh,4.7
Arjun Patel,27,Financial Planner,CA,Arunachal Pradesh,3.5
Avni Nambiar,4,Wealth Manager,"CFA, FRM",Arunachal Pradesh,3.8
Ayaan Mehta,13,Financial Planner,"CFA, CFP",Arunachal Pradesh,3.9
Aarohi Nambiar,22,Financial Planner,"SEBI RIA, CPA",Arunachal Pradesh,3.3
Myra Tiwari,11,Wealth Manager,SEBI RIA,Arunachal Pradesh,3.7
Pari Mehta,24,Wealth Manager,CPA,Arunachal Pradesh,4.3
Sai Rao,14,Chartered Accountant,FRM,Arunachal Pradesh,4.7
Vihaan Malhotra,15,Investment Advisor,"CFP, FRM",Arunachal Pradesh,4.6
